iter	Passed	Remaining
0	152	76091
1	158	39496
2	164	27315
3	171	21224
4	177	17547
5	183	15123
6	189	13366
7	195	12041
8	202	11021
9	208	10224
10	214	9547
11	221	8991
12	227	8524
13	233	8117
14	240	7771
15	246	7465
16	252	7185
17	259	6936
18	265	6714
19	271	6504
20	277	6319
21	283	6160
22	289	6000
23	295	5859
24	301	5733
25	307	5611
26	314	5505
27	321	5413
28	327	5320
29	334	5234
30	340	5152
31	346	5071
32	353	4997
33	359	4923
34	365	4851
35	370	4779
36	377	4721
37	383	4659
38	389	4605
39	395	4549
40	402	4503
41	408	4450
42	414	4405
43	420	4359
44	426	4316
45	433	4281
46	440	4244
47	446	4208
48	453	4176
49	459	4139
50	466	4105
51	472	4074
52	478	4039
53	485	4006
54	490	3972
55	497	3941
56	503	3912
57	509	3881
58	515	3851
59	521	3823
60	528	3800
61	534	3773
62	540	3747
63	547	3726
64	553	3705
65	560	3682
66	566	3661
67	573	3643
68	580	3623
69	586	3603
70	592	3581
71	599	3562
72	605	3540
73	611	3519
74	617	3496
75	622	3475
76	629	3458
77	635	3439
78	641	3420
79	648	3402
80	654	3386
81	660	3367
82	666	3349
83	673	3335
84	679	3319
85	685	3302
86	692	3287
87	699	3273
88	705	3257
89	711	3243
90	718	3228
91	724	3213
92	730	3198
93	736	3182
94	742	3167
95	749	3153
96	755	3137
97	761	3123
98	767	3109
99	774	3097
100	780	3083
101	786	3069
102	792	3055
103	798	3040
104	804	3027
105	811	3014
106	817	3002
107	823	2990
108	829	2976
109	835	2962
110	842	2951
111	848	2940
112	855	2928
113	861	2915
114	867	2904
115	873	2891
116	879	2879
117	887	2872
118	893	2860
119	900	2850
120	906	2838
121	912	2828
122	919	2816
123	925	2805
124	931	2793
125	937	2782
126	943	2771
127	950	2761
128	955	2749
129	961	2736
130	967	2725
131	974	2716
132	980	2706
133	986	2694
134	993	2685
135	999	2674
136	1005	2663
137	1010	2651
138	1017	2641
139	1023	2631
140	1029	2620
141	1035	2611
142	1042	2601
143	1048	2591
144	1054	2581
145	1060	2571
146	1067	2562
147	1072	2551
148	1078	2541
149	1085	2532
150	1091	2522
151	1097	2513
152	1104	2503
153	1110	2495
154	1117	2487
155	1124	2479
156	1130	2470
157	1137	2461
158	1143	2451
159	1149	2442
160	1155	2432
161	1160	2422
162	1166	2412
163	1173	2403
164	1179	2394
165	1185	2385
166	1192	2377
167	1198	2368
168	1204	2359
169	1210	2350
170	1216	2341
171	1223	2332
172	1228	2322
173	1235	2314
174	1241	2306
175	1247	2297
176	1255	2290
177	1261	2282
178	1268	2275
179	1276	2268
180	1283	2261
181	1290	2254
182	1296	2245
183	1302	2237
184	1309	2229
