Neighborhood,Nbhd_GrLivArea_mean,Nbhd_GrLivArea_std,Nbhd_TotalSF_mean,Nbhd_TotalSF_std,Nbhd_LotArea_mean,Nbhd_LotArea_std,Nbhd_OverallQual_mean,Nbhd_OverallQual_std,Nbhd_YearBuilt_mean,Nbhd_YearBuilt_std,Nbhd_Count
CollgCr,1480.5,430.93246407134853,3190.6666666666665,732.1432605132611,9619.146666666667,2344.7755445209355,6.64,1.0380673834667236,1997.8866666666668,10.436472356944657,150
Veenker,1539.6363636363637,313.98448137679446,3407.818181818182,529.2500010735603,15606.0,11832.672851051024,6.7272727272727275,1.3483997249264843,1982.3636363636363,8.38179846181867,11
Crawfor,1791.6078431372548,544.5491007588341,3234.5882352941176,844.4855754000913,11809.686274509804,5315.343377394151,6.2745098039215685,1.0213409102263362,1941.549019607843,23.425041067618373,51
NoRidge,2508.8536585365855,592.0636182445098,4708.536585365854,1023.9913353530139,14218.90243902439,7332.628883302626,7.926829268292683,0.8482406469404488,1995.439024390244,2.674404424239227,41
Mitchel,1294.204081632653,377.581005634985,2870.938775510204,733.8489117932492,11624.285714285714,6025.812140975964,5.591836734693878,0.8640593957916219,1981.7551020408164,14.72459763491701,49
Somerst,1596.6511627906978,294.93743174729593,3360.3255813953488,666.610415228291,7840.872093023256,3742.981201871708,7.337209302325581,0.8060136492243652,2004.9883720930231,3.122948026715322,86
NWAmes,1727.7808219178082,416.36019550969394,3415.1369863013697,601.1969846127458,11833.630136986301,2682.9986101108825,6.328767123287672,0.7275299635018467,1975.6301369863013,6.703040042720016,73
OldTown,1479.725663716814,576.9436133594056,2672.079646017699,830.3716480931995,8207.061946902655,3235.4798752138818,5.389380530973451,1.2916879067894627,1922.8849557522124,23.09559026106399,113
BrkSide,1203.0689655172414,386.6142218851026,2271.7241379310344,695.4491365386845,7360.413793103448,2714.360898799056,5.051724137931035,1.1909367357378586,1931.4310344827586,11.94154192189913,58
Sawyer,1215.1351351351352,344.62488339564356,2577.9594594594596,559.9667416540092,10459.283783783783,3456.18901499971,5.027027027027027,0.5227161143927312,1963.6756756756756,14.071352524401286,74
NridgHt,1915.948051948052,427.22805742994655,4264.532467532467,780.6045663865718,10887.948051948051,3637.945957094412,8.25974025974026,0.9921083000437609,2005.6753246753246,1.802349040627708,77
NAmes,1310.3111111111111,413.4982521891623,2763.5422222222223,713.3425026669244,10139.915555555555,3250.1387576117677,5.36,0.8233208019096458,1959.9955555555555,8.770637793318546,225
SawyerW,1595.0169491525423,507.98837522422264,3121.5423728813557,796.5045905886263,9923.796610169491,2262.590869043267,6.322033898305085,0.9366241281601614,1988.5593220338983,13.169022148968512,59
IDOTRR,1142.2972972972973,283.9023565383846,2205.135135135135,461.6882763993088,8109.1621621621625,2546.605425894478,4.756756756756757,1.140307107888178,1927.945945945946,13.144381871156,37
MeadowV,1058.9411764705883,472.6258391407831,1971.764705882353,719.5076901440807,2324.0,955.922721772006,4.470588235294118,0.6242642728467978,1972.5882352941176,2.6706465399180623,17
Edwards,1340.04,655.2099196348288,2566.06,1403.401105539789,10218.65,7026.897095835013,5.08,1.3079400103625054,1955.97,28.865573147459127,100
Timber,1749.3684210526317,391.57612363043734,3725.5,704.9918055877996,23664.236842105263,41074.7567599412,7.157894736842105,1.1974368073260142,1992.842105263158,17.03339536352754,38
Gilbert,1641.3164556962026,297.6757633908979,2962.987341772152,481.48979523416494,11379.151898734177,4679.548479995796,6.556962025316456,0.7803161003645593,1998.253164556962,10.508199917122555,79
StoneBr,1879.08,570.7289870566123,4033.6,860.2261330603715,10671.92,9892.293346843288,8.16,0.6879922480183431,1998.48,9.065134674491436,25
ClearCr,1788.107142857143,467.2437177736495,3482.8928571428573,568.9017580544644,30875.75,34777.37759119239,5.892857142857143,0.9940297973880047,1966.5714285714287,19.305398537673664,28
NPkVill,1253.0,237.51578894886126,2626.1111111111113,146.19973020190952,3267.4444444444443,1197.2038371880444,6.0,0.0,1976.4444444444443,1.2360330811825797,9
Blmngtn,1427.9411764705883,138.17808734936742,3255.1176470588234,275.99046232454776,3398.176470588235,371.9350136942806,7.176470588235294,0.39295262399668784,2005.235294117647,1.2514697241996022,17
BrDale,1143.1875,155.82863183638622,2011.0625,307.4760627539429,1801.0,193.89584833100471,5.6875,0.478713553878169,1971.4375,1.0307764064044072,16
SWISU,1801.24,632.355667326545,2929.92,808.0091748654012,8127.56,2502.4447393166015,5.44,1.0832051206181281,1925.24,9.270382947861386,25
Blueste,1392.5,231.22391744800103,2488.0,333.75440072005046,1625.0,459.6194077712559,6.0,0.0,1980.0,0.0,2
