Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalBath,HouseAge,RemodAge,HasBasement,HasGarage,HasFireplace,OverallScore,ExteriorScore,BsmtScore,Qual_X_GrLivArea,Qual_X_TotalSF,Qual_X_LotArea,BsmtQual_X_BsmtFinSF1,YearBuilt_X_Qual,TotalSF2,Nbhd_X_Qual,Nbhd_X_GrLivArea,TotalPorchSF,LivAreaRatio,BsmtFinRatio,GaragePerCar,PorchRatio,BathPerRoom,BedroomRatio,RoomPerSqFt,QualPerSqFt,RemodRatio,LivAreaPerRoom,MasVnrRatio,WoodDeckRatio,YearsSinceRemod,GarageAge,KitchenQual_Ord,HeatingQC_Ord,GarageQual_Ord,GarageCond_Ord,BsmtCond_Ord,FireplaceQu_Ord,Functional_Ord,PavedDrive_Ord,BsmtExposure_Ord,BsmtFinType1_Ord,BsmtFinType2_Ord,LotShape_Ord,LandSlope_Ord,ExterQual_Ord,ExterCond_Ord,BsmtQual_Ord,TotalQualScore,Nbhd_GrLivArea_mean,Nbhd_GrLivArea_std,Nbhd_TotalSF_mean,Nbhd_TotalSF_std,Nbhd_LotArea_mean,Nbhd_LotArea_std,Nbhd_OverallQual_mean,Nbhd_OverallQual_std,Nbhd_YearBuilt_mean,Nbhd_YearBuilt_std,Nbhd_Count,GrLivArea_Z,TotalSF_Z,LotArea_Z,OverallQual_Z,YearBuilt_Z,MoSold_sin,MoSold_cos,DecadeBuilt,DecadeRemod,YrSold_minus_YearBuilt,OverallQual_X_TotalBath,GrLivArea_X_TotalBath,OverallQual_X_Fireplaces,GarageCars_X_GarageArea
1,60,RL,65.0,8450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,,Attchd,2003.0,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,,,,0,2,2008,WD,Normal,208500,3114,3.5,5,5,1,1,0,35,7,4,11970,21798,59150,2824,14021,9696996,46.48,2531655.0,61,0.20234291799787008,0.823803967327888,274.0,0.007218080700508816,0.3888888888888889,0.3333333333333333,0.004675628287551139,0.004091174751607247,0.0,190.0,0.11455289304500292,0.0,5,5.0,4,5,3,3,3,0,7,3,1,6,1,4,3,4,3,4,41,1480.5,430.93246407134853,3190.6666666666665,732.1432605132611,9619.146666666667,2344.7755445209355,6.64,1.0380673834667236,1997.8866666666668,10.436472356944657,150,0.5313330649814045,-0.10457255872882673,-0.4984051732474838,0.1766379281275997,0.4471075672410664,0.8660254037844386,0.5000000000000001,2000,2000,5,24.5,5985.0,0,1096
2,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,,,,0,5,2007,WD,Normal,181500,2984,2.5,31,31,1,1,1,48,6,4,7572,17904,57600,3912,11856,8904256,40.36363636363637,1943021.090909091,298,0.1314446411832101,0.7743467933491687,230.0,0.03103843349651078,0.35714285714285715,0.42857142857142855,0.004750593824228029,0.004750593824228029,0.0,180.28571428571428,0.0,0.03103843349651078,31,31.0,3,5,3,3,3,3,7,3,4,5,1,4,3,3,3,4,44,1539.6363636363637,313.98448137679446,3407.818181818182,529.2500010735603,15606.0,11832.672851051024,6.7272727272727275,1.3483997249264843,1982.3636363636363,8.38179846181867,11,-0.8814287053851593,-0.7992799263745531,-0.5075347337717359,-0.30968864437909716,-0.6782959993794904,0.49999999999999994,-0.8660254037844387,1970,1970,31,15.0,3155.0,6,920
3,60,RL,68.0,11250,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,,,,0,9,2008,WD,Normal,223500,3314,3.5,7,6,1,1,1,35,7,4,12502,23198,78750,1944,14007,10982596,46.48,2644173.0,42,0.15874144520487068,0.5276872964169381,304.0,0.0037330015109768022,0.5,0.42857142857142855,0.003357582540570789,0.00391717963066592,0.125,255.14285714285714,0.09065472859541131,0.0,6,7.0,4,5,3,3,3,3,7,3,2,6,1,3,3,4,3,4,44,1480.5,430.93246407134853,3190.6666666666665,732.1432605132611,9619.146666666667,2344.7755445209355,6.64,1.0380673834667236,1997.8866666666668,10.436472356944657,150,0.7072864982650069,0.16822542056376527,0.6952299153866371,0.1766379281275997,0.2722284666252611,-1.0,-1.8369701987210297e-16,2000,2000,7,24.5,6251.0,7,1216
4,70,RL,60.0,9550,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Y,0,35,272,0,0,0,,,,0,2,2006,WD,Abnorml,140000,3115,2.0,91,36,1,1,1,35,6,3,12019,21805,66850,648,13405,9703225,43.92156862745098,3076190.6666666665,307,0.179771751649042,0.285336856010568,214.0,0.032143231075280075,0.25,0.375,0.004074505238649592,0.004074505238649592,0.5978260869565217,214.625,0.0,0.0,36,8.0,4,4,3,3,4,4,7,3,1,5,1,3,3,3,3,3,43,1791.6078431372548,544.5491007588341,3234.5882352941176,844.4855754000913,11809.686274509804,5315.343377394151,6.2745098039215685,1.0213409102263362,1941.549019607843,23.425041067618373,51,-0.13675733867671794,-0.1414432590852036,-0.42504520759857467,0.3589153083520166,-1.0869590570736274,0.8660254037844386,0.5000000000000001,1910,1970,91,14.0,3434.0,7,1926
5,60,RL,84.0,14260,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Y,192,84,0,0,0,0,,,,0,12,2008,WD,Normal,250000,4179,3.5,8,8,1,1,1,40,7,4,17584,33432,114080,2620,16000,17464041,63.41463414634146,5514460.341463415,276,0.1541266390856181,0.5715532286212914,278.6666666666667,0.01935348152303485,0.35,0.4,0.004092769440654843,0.0036380172805820826,0.0,219.8,0.15916325602546613,0.013463291494285113,8,8.0,4,5,3,3,3,3,7,3,3,6,1,3,3,4,3,4,45,2508.8536585365855,592.0636182445098,4708.536585365854,1023.9913353530139,14218.90243902439,7332.628883302626,7.926829268292683,0.8482406469404488,1995.439024390244,2.674404424239227,41,-0.5241489259731086,-0.5166254260905319,0.005603987006921163,0.03958939645031772,1.2412829626669026,-2.4492935982947064e-16,1.0,2000,2000,8,28.0,7693.0,8,2508
6,50,RL,85.0,14115,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,,Attchd,1993.0,Unf,2,480,TA,TA,Y,40,30,0,320,0,0,,MnPrv,Shed,700,10,2009,WD,Normal,143000,2638,2.5,16,14,1,1,0,25,6,4,6810,13190,70575,2928,9965,6959044,27.95918367346939,1762705.9591836734,390,0.09648625672995183,0.918444165621079,240.0,0.027628223292717483,0.4166666666666667,0.16666666666666666,0.003668378576669112,0.003668378576669112,0.11764705882352941,227.0,0.0,0.0028336639274582033,14,16.0,3,5,3,3,3,0,7,3,1,6,1,3,3,3,3,4,37,1294.204081632653,377.581005634985,2870.938775510204,733.8489117932492,11624.285714285714,6025.812140975964,5.591836734693878,0.8640593957916219,1981.7551020408164,14.72459763491701,49,0.1790790276274809,-0.31698866497844325,0.41327226192767097,-0.31749886083567574,0.7151151476342984,-0.8660254037844386,0.5000000000000001,1990,1990,16,12.5,3405.0,0,960
7,20,RL,75.0,10084,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Y,255,57,0,0,0,0,,,,0,8,2007,WD,Normal,307000,4016,3.0,3,2,1,1,1,40,7,5,13552,32128,80672,6845,16032,16128256,58.69767441860465,2704727.069767442,312,0.16797223599405056,0.8114997036158862,318.0,0.03093703520079326,0.375,0.375,0.004129793510324484,0.00471976401179941,0.25,211.75,0.10973451327433628,0.02528507684680218,2,3.0,4,5,3,3,3,4,7,3,3,6,1,4,3,4,3,5,47,1596.6511627906978,294.93743174729593,3360.3255813953488,666.610415228291,7840.872093023256,3742.981201871708,7.337209302325581,0.8060136492243652,2004.9883720930231,3.122948026715322,86,0.32895074014303616,0.9821213145400701,0.5991290516777568,0.3669909681795981,-0.23972460642696067,-0.8660254037844385,-0.5000000000000004,2000,2000,3,24.0,5082.0,8,1272
8,60,RL,,10382,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Y,235,204,228,0,0,0,,,Shed,350,11,2009,WD,Normal,200000,3681,3.5,36,36,1,1,1,42,6,4,14630,25767,72674,3436,13811,13549761,44.301369863013704,3611061.9178082193,667,0.20129057112587884,0.8041516245487365,242.0,0.06423962245979004,0.4375,0.375,0.003347680535628886,0.003347680535628886,0.0,261.25,0.11477761836441894,0.022633150341905037,36,36.0,3,5,3,3,3,3,7,3,2,5,4,3,3,3,3,4,43,1727.7808219178082,416.36019550969394,3415.1369863013697,601.1969846127458,11833.630136986301,2682.9986101108825,6.328767123287672,0.7275299635018467,1975.6301369863013,6.703040042720016,73,0.8678814654086451,0.4414884506098923,-0.5408460837192203,0.38855064218491675,-0.34144142724364823,-0.5000000000000004,0.8660254037844384,1970,1970,36,24.5,7315.0,14,968
9,50,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Y,90,0,205,0,0,0,,,,0,4,2008,WD,Abnorml,129900,3194,2.0,77,58,1,1,1,35,6,3,12418,22358,42840,0,13517,10201636,37.725663716814154,2625033.327433628,295,0.2898219245221369,0.0,234.0,0.04819473942166313,0.2222222222222222,0.2222222222222222,0.004507042253521127,0.003943661971830986,0.24358974358974358,197.11111111111111,0.0,0.014703479823558243,58,77.0,3,4,2,3,3,3,6,3,1,1,1,4,3,3,3,3,39,1479.725663716814,576.9436133594056,2672.079646017699,830.3716480931995,8207.061946902655,3235.4798752138818,5.389380530973451,1.2916879067894627,1922.8849557522124,23.09559026106399,113,0.5091748216969838,0.6277822381595001,-0.644855530505881,0.7028092543730984,0.33678545160608575,0.8660254037844387,-0.4999999999999998,1930,1950,77,14.0,3548.0,14,936
10,190,RL,50.0,7420,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0,4,0,0,0,0,,,,0,1,2008,WD,Normal,118000,2273,2.0,69,58,1,1,1,30,6,3,5385,11365,37100,2553,9695,5166529,25.258620689655174,1295705.2758620689,4,0.14512868885594934,0.8578629032258065,205.0,0.0005390109149710281,0.3333333333333333,0.3333333333333333,0.00463821892393321,0.00463821892393321,0.15714285714285714,179.5,0.0,0.0,58,69.0,3,5,4,3,3,3,7,3,1,6,1,4,3,3,3,3,41,1203.0689655172414,386.6142218851026,2271.7241379310344,695.4491365386845,7360.413793103448,2714.360898799056,5.051724137931035,1.1909367357378586,1931.4310344827586,11.94154192189913,58,-0.32524339510589734,0.0018319529769346076,0.021944120548729008,-0.023608229798390393,0.5848580920974734,0.49999999999999994,0.8660254037844387,1930,1950,69,10.0,2154.0,10,205
